Ticks,houses_avg_endoftick,houses_at_setup,links_avg,links_med,links_max,links_min,buyout_ratio_avg,buyout_ratio_med,buyout_ratio_max,buyout_ratio_min,holdout_ratio_avg,holdout_ratio_med,holdout_ratio_min,holdout_ratio_max,successes_avg,fail_rate,pct_houses_bought,buyout_roc
49,809.4242424242424,1080,123.84848484848484,120,131,118,1.1542375454545455,1.155273,2.236616,0.530267,1,1,1,1,270.8181818181818,0.5,0.7494668911335578,1.047279613684884
50,799.9859154929577,1080,122.83098591549296,118,129,117,1.2088094507042253,1.128025,2.494235,0.492619,1,1,1,1,280.3098591549296,0.43661971830985913,0.7407276995305164,0.9296169553765236
51,790.9701492537314,1080,121.44776119402985,118,127,117,1.1237297611940298,0.948188,2.374468,0.607373,1,1,1,1,289.2835820895522,0.4776119402985075,0.7323797678275291,0.9278884457331941
52,782.9384615384615,1080,120.95384615384616,119,127,115,1.0426958615384616,1.004092,2.065303,0.56892,1.123076923076923,1,1,2,297.2923076923077,0.5384615384615384,0.7249430199430199,1.097410102802572
53,772.5753424657535,1080,117.08219178082192,116,123,112,1.1442649726027396,1.083832,2.531033,0.446444,2,2,2,2,307.73972602739724,0.3835616438356164,0.7153475393201421,1.0385051444012152
54,762.3636363636364,1080,116.27272727272727,113,122,110,1.1883250606060607,1.0996700000000001,2.351992,0.446767,2,2,2,2,317.8787878787879,0.5,0.7058922558922559,0.9420372168747239
55,754.7611940298508,1080,114.97014925373135,119,122,108,1.119446432835821,1.041132,2.064867,0.410215,2,2,2,2,325.4925373134328,0.4776119402985075,0.698852957435047,1.0616383276110444
56,745,1080,110.97014925373135,108,119,103,1.1884472388059701,1.066492,2.700571,0.532533,2,2,2,2,335.25373134328356,0.5074626865671642,0.6898148148148148,0.9737954985627401
57,736.1428571428571,1080,108.72857142857143,104,117,101,1.1573045714285715,0.9680595000000001,2.339471,0.596803,2,2,2,2,344.14285714285717,0.41428571428571426,0.6816137566137566,0.9274387200403283
58,724.5352112676056,1080,104.83098591549296,99,116,96,1.0733290704225351,1.006593,1.967182,0.446796,2,2,2,2,355.76056338028167,0.4225352112676056,0.6708659363588941,0.9601464344893821
59,712.0933333333334,1080,99.62666666666667,92,113,88,1.03055308,0.98203,3.000847,0.53408,2,2,2,2,368.24,0.33333333333333337,0.6593456790123458,1.054263257117476
60,698.8181818181819,1080,96.42857142857143,88,111,84,1.0864742467532467,1.038073,2.174036,0.449638,2,2,2,2,381.53246753246754,0.3116883116883117,0.6470538720538721,1.0538964251541778
61,685.7792207792207,1080,95.49350649350649,86,109,82,1.1450313246753248,1.105182,1.801079,0.680523,2,2,2,2,394.57142857142856,0.2857142857142857,0.63498075998076,1.004950083200809
62,673,1080,92.4125,81,108,75,1.150699325,1.0407160000000002,2.445039,0.535169,2,2,2,2,407.375,0.26249999999999996,0.6231481481481481,0.9372468715628676
63,658.7945205479452,1080,86.5068493150685,75,105,71,1.0784893424657533,0.984141,2.007449,0.597889,2,2,2,2,421.52054794520546,0.3561643835616438,0.6099949264332827,1.1027889805390143
64,645.05,1080,82.0125,71,98,69,1.1893461625,1.0701975,2.416196,0.577752,2,2,2,2,435.325,0.25,0.5972685185185185,0.945038583464743
65,629.9746835443038,1080,79.51898734177215,70,95,68,1.123978012658228,1.056629,2.060656,0.573873,2,2,2,2,450.39240506329116,0.2784810126582279,0.5833098921706517,1.0075504995242826
66,617.027027027027,1080,77.02702702702703,66.5,91,63,1.132464608108108,1.0196425,2.518099,0.470616,2,2,2,2,463.2972972972973,0.32432432432432434,0.5713213213213213,1.0373065999454005
67,598.9146341463414,1080,73.9390243902439,62,92,59,1.174713012195122,1.077293,2.392767,0.586768,2,2,2,2,481.4756097560976,0.2195121951219512,0.5545505871725384,0.9677472675372722
68,586.2820512820513,1080,73.47435897435898,61,92,56,1.1368253076923076,1.0802575,2.239934,0.533877,2.076923076923077,2,2,3,494.0769230769231,0.28205128205128205,0.5428537511870845,1.02023872065732
69,573.358024691358,1080,71.55555555555556,56,93,53,1.1598331975308642,1.043977,2.262509,0.58632,2.5308641975308643,3,2,3,507.0246913580247,0.2592592592592593,0.5308870598994055,1.0702486689810442
70,559.2307692307693,1080,67.2948717948718,55,87,49,1.241309935897436,1.137488,3.24767,0.518801,2.5128205128205128,3,2,3,521.1282051282051,0.2692307692307693,0.5178062678062678,0.9206494247988024
71,547.873417721519,1080,65.10126582278481,79,83,48,1.1428112784810127,0.966326,2.491153,0.596368,2.4936708860759493,2,2,3,532.493670886076,0.25316455696202533,0.5072902015939991,1.077722503522902
72,531.1975308641976,1080,61.45679012345679,49,80,46,1.2316334320987654,1.060769,3.183402,0.395146,2.506172839506173,3,2,3,549.1851851851852,0.24691358024691357,0.49184956561499776,1.018293263515808
73,510.2972972972973,1080,56.472972972972975,46,73,45,1.2541640270270271,0.9847710000000001,3.768189,0.599853,2.5675675675675675,3,2,3,570.027027027027,0.3513513513513513,0.4724974974974975,0.8725408397555251
74,490.2638888888889,1080,52.02777777777778,45,71,37,1.0943093333333334,0.9751989999999999,2.932484,0.564615,2.8194444444444446,3,2,3,590.0416666666666,0.38888888888888884,0.4539480452674897,1.057149479062593
